Specimen,Maxilla_LDR,Dentary_LDR,Frontal_GL,Frontal_SW,Frontal_PW,Parietal_GW,Parietal_GL,Quadrate_GH,Occipital_complex_WC,Articular_WR,Scapulocoracoid_HG,Femur_GL,Humerus_GL,Pelvis_HA,Ilium_crest_GL,SVL,TL,Sex,species,genus
Sceloporus grammicus_TxVP_M-11623,4.16,5.61,4.72,1.17,4.04,3.62,2.7,2.78,1.76,1.59,0.76,11.18,7.95,1.36,4.09,NA,NA,NA,Sceloporus grammicus,Sceloporus
Sceloporus occidentalis_TxVP_M-12172,NA,NA,NA,NA,6.181,NA,NA,NA,NA,2.076,NA,12.992,10.754,NA,5.282,64,NA,NA,Sceloporus occidentalis,Sceloporus
Sceloporus occidentalis_TxVP_M-8622,6.48,7.83,NA,1.42,6,4.96,NA,4.35,2.03,2.41,0.93,12.86,10.28,1.49,4.78,65,NA,male,Sceloporus occidentalis,Sceloporus
Sceloporus occidentalis_TxVP_M-12185,5.68,7.47,NA,1.34,5.78,4.95,NA,3.79,1.87,2.42,0.9,12.34,10.22,1.08,5.83,63,NA,NA,Sceloporus occidentalis,Sceloporus
Sceloporus occidentalis_TxVP_M-12191,8.72,7.89,NA,1.68,7.44,5.19,NA,4.45,2.06,2.99,1.03,15.06,12.1,1.37,7.37,72,174,male,Sceloporus occidentalis,Sceloporus
Sceloporus occidentalis_TxVP_M-12178,6.52,7.78,NA,1.3,6.49,4.61,NA,3.92,1.88,2.85,0.96,13.17,10.41,1.48,5.82,63,NA,female,Sceloporus occidentalis,Sceloporus
Sceloporus occidentalis_TxVP_M-12124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81,14.93,11.96,2.21,6.58,77,NA,male,Sceloporus occidentalis,Sceloporus
Sceloporus occidentalis_TxVP_M-12170,5.5,5.86,NA,0.9,4.91,4.19,NA,3.15,1.66,1.65,0.51,8.75,6.42,1.01,3.66,44,NA,female,Sceloporus occidentalis,Sceloporus
Sceloporus occidentalis_TxVP_M-8402,5.87,6.36,4.77,1.24,4.89,4.14,3.04,3.1,NA,1.86,0.47,9.92,7.6,NA,NA,48,NA,NA,Sceloporus occidentalis,Sceloporus
Sceloporus occidentalis_TxVP_M-12173,7.46,8.72,NA,1.58,6.55,NA,NA,4.28,2.3,2.97,1.14,14.96,11.2,2.65,6.23,81,182,male,Sceloporus occidentalis,Sceloporus
Sceloporus occidentalis_TxVP_M-12135,7.14,7.37,NA,1.45,6.27,4.9,NA,4.52,2.24,2.6,1.25,13.17,10.41,1.84,6.08,68,NA,female,Sceloporus occidentalis,Sceloporus
Sceloporus occidentalis_TxVP_M-8624,7.89,8.28,NA,1.58,6.46,5,NA,5.14,2.03,2.5,0.81,14.9,12.36,2.48,6.57,76,180,female,Sceloporus occidentalis,Sceloporus
